domain,field,original,sdtm,fragprefix
dm,ethnic,HISPANIC OR LATINO,C66790.C17459,Ethnic_
dm,ethnic,NOT HISPANIC OR LATINO,C66790.C41222,Ethnic_
dm,ethnic,NOT REPORTED,C66790.C43234,Ethnic_
dm,ethnic,UNKNOWN,C66790.C17998,Ethnic_
dm,race,AMERICAN INDIAN OR ALASKA NATIVE,C74457.C41259,Race_
dm,race,ASIAN,C74457.C41260,Race_
dm,race,BLACK OR AFRICAN AMERICAN,C74457.C16352,Race_
dm,race,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,C74457.C41219,Race_
dm,race,WHITE,C74457.C41261,Race_
vs,vslat,LEFT,C99073.C25229,Lat_
vs,vslat,RIGHT,C99073.C25228,Lat_
vs,vsloc,ARM,C74456.C32141,Loc_
vs,vsloc,EAR,C74456.C12394,Loc_
vs,vsloc,ORAL,C74456.C12421,Loc_
vs,vspos,STANDING,C71148.C62166,AssumeBodyPosition_
vs,vspos,SUPINE,C71148.C62167,AssumeBodyPosition_
vs,vstestcd,DIABP,C67153.C25299,Test_
vs,vstestcd,HEIGHT,C67153.C25347,Test_
vs,vstestcd,PULSE,C67153.C49676,Test_
vs,vstestcd,SYSBP,C67153.C25298,Test_
vs,vstestcd,TEMP,C67153.C25206,Test_
vs,vstestcd,WEIGHT,C67153.C25208,Test_
